objectid,title,creator,editors,photographs,illustrations,graphic design,board of directors,date,date is approximate,description,subject,location,latitude,longitude,source,type,format original,format,digital collection,contributing institution,identifier,filename,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,cdm_url,cdmid,contentdm file name,contentdm file path
moscowcoop0001,Newsletter June 1989,Moscow Food Co-op,"London, Bill",,,"Shelly, Barbara",,1989-06,,,newsletters; cooperatives (business enterprises); wedding objects; tuna,"Moscow, Idaho",46.7318566,-116.999742,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,newsletter_1989jun,newsletter_1989jun.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/newsletter_1989jun.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/newsletter_1989jun_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/newsletter_1989jun_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/0,0,37.pdf,/moscowcoop/image/37.pdf
moscowcoop0002,Community News August 1994,Moscow Food Co-op,"London, Bill",,,"Cantrell, Kim","Harvey-Marose, Peg; Harvey, Jeannie; Adams, Anne; Cunningham, Erika; Pittinger, Dean; Reich, Vicki; Rosenthal, Mare; Swett, Sarah",1994-08,,,newsletters; cooperatives (business enterprises); breakfasts; grills,"Moscow, Idaho",46.7325657,-117.0068186,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,communitynews-1994aug,communitynews-1994aug.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/communitynews-1994aug.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-1994aug_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-1994aug_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/1,1,131.pdf,/moscowcoop/image/131.pdf
moscowcoop0003,Newsletter September 1989,Moscow Food Co-op,"Casey, Nancy",,,"Shelly, Barbara",,1989-09,,,newsletters; cooperatives (business enterprises); openings (events); aquifers,"Moscow, Idaho",46.7325657,-117.0068186,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,newsletter_1989sep,newsletter_1989sep.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/newsletter_1989sep.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/newsletter_1989sep_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/newsletter_1989sep_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/2,2,19.pdf,/moscowcoop/image/19.pdf
moscowcoop0004,Community News February 2000,Moscow Food Co-op,"London, Bill; Harris, Therese",,"Nelson, Nancy","Perez, Tanya","Gale, Jim; Hermanson, Jim; Knowles, Mary Jo; Ogle, Nick; Pengilly, Mimi; Peyer, Suzanne; Pingree, Al; Vaughan, Pat",2000-02,,,newsletters; cooperatives (business enterprises); automatic doors; boards of directors,"Moscow, Idaho",46.73203791,-116.9990522,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,communitynews-2000feb,communitynews-2000feb.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/communitynews-2000feb.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2000feb_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2000feb_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/3,3,198.pdf,/moscowcoop/image/198.pdf
moscowcoop0005,Community News December 1994,Moscow Food Co-op,"Solan, Alan Jay",,,"Cantrell, Kim","Harvey, Jeannie; Adams, Anne; Cunningham, Erika; Holmes, Evan; Pittinger, Dean; Reich, Vicki; Rosenthal, Mare; Strand, Eva",1994-12,,,newsletters; cooperatives (business enterprises); billboards (site elements); cinnamomum (genus),"Moscow, Idaho",46.7325657,-117.0068186,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,communitynews-1994dec,communitynews-1994dec.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/communitynews-1994dec.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-1994dec_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-1994dec_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/4,4,156.pdf,/moscowcoop/image/156.pdf
moscowcoop0006,Newsletter May 1986,Moscow Food Co-op,"London, Bill",,,"Parks, Rose Terry",,1986-05,,,newsletters; cooperatives (business enterprises); insurance; cheese,"Moscow, Idaho",46.7318566,-116.999742,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,newsletter_1986may,newsletter_1986may.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/newsletter_1986may.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/newsletter_1986may_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/newsletter_1986may_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/5,5,280.pdf,/moscowcoop/image/280.pdf
moscowcoop0007,Community News February 2010,Moscow Food Co-op,"London, Bill","Hall, David","Rate, Lucas","Prusynski, Megan","Vincent, Kimberly; Beck, Bill; Neese, Dena; Macfarlane, Gary; Wilkinson, Donal; Norden, Chris; Kuhle, Andrika",2010-02,,,newsletters; cooperatives (business enterprises); donation boxes; boards of directors; administrative reports,"Moscow, Idaho",46.73065303,-117.0002235,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,communitynews-2010feb,communitynews-2010feb.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/communitynews-2010feb.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2010feb_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2010feb_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/6,6,204.pdf,/moscowcoop/image/204.pdf
moscowcoop0008,Community News April 1995,Moscow Food Co-op,"London, Bill",,,"Cantrell, Kim","Harvey, Jeannie; Cunningham, Erika; Gaul, Tom; Holmes, Evan; Pittinger, Dean; Reich, Vicki; Rosenthal, Mare; Stannard, Sandy; Strand, Eva",1995-04,,,newsletters; cooperatives (business enterprises); guidelines; sexuality,"Moscow, Idaho",46.7325657,-117.0068186,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,communitynews-1995apr,communitynews-1995apr.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/communitynews-1995apr.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-1995apr_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-1995apr_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/7,7,61.pdf,/moscowcoop/image/61.pdf
moscowcoop0009,Newsletter October 1985,Moscow Food Co-op,"London, Bill",,,"Parks, Rose Terry",,1985-10,,,newsletters; cooperatives (business enterprises); wholesalers; electrical systems,"Moscow, Idaho",46.7318566,-116.999742,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,newsletter_1985oct,newsletter_1985oct.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/newsletter_1985oct.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/newsletter_1985oct_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/newsletter_1985oct_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/8,8,84.pdf,/moscowcoop/image/84.pdf
moscowcoop0010,Community News March 2008,Moscow Food Co-op,"London, Bill","Hall, David","Rate, Lucas","Prusynski, Megan","Vincent, Kimberly; Beck, Bill; Wilkinson, Donal; Ryan, Kathleen; Thompson, Joe; Macfarlane, Gary; Caudill, Chris",2008-03,,,newsletters; cooperatives (business enterprises); citrus fruit; farmers' markets,"Moscow, Idaho",46.73065303,-117.0002235,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",Text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,communitynews-2008mar,communitynews-2008mar.pdf,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/communitynews-2008mar.pdf,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2008mar_sm.jpg,https://www.lib.uidaho.edu/digital/objects/moscowcoop/small/communitynews-2008mar_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/9,9,17.pdf,/moscowcoop/image/17.pdf
