field,display_name,browse_link,external_link,dc_map,schema_map
title,Title,,,DCTERMS.title,headline
creator,Creator,,,DCTERMS.creator,creator
archival date,Date Created (Archival Standard)
date,Date Created (ISO Standard),,,DCTERMS.date,dateCreated
description,Description,,,DCTERMS.description,description
subjects,Subjects,true,,DCTERMS.subject,keywords
1st stations,First Subdivision Stations,true,,,
2nd stations,Second Subdivision Stations,true,,,
3rd stations,Third Subdivision Stations,true,,,
4th stations,Fourth Subdivision Stations,true,,,
general manager,General Manager,true,,,
company name,Company Namem,true,,,
latitude,Latitude,,,,
longitude,Longitude,,,,
source,Source,,,,
finding aid,Finding Aid,,true
identifier,Source Identifier,,,,
type,Type,,,DCTERMS.type,
format,Format,,,,encodingFormat
rightsstatement,,,,DCTERMS.rights,license
