filename,object_location,title,creator,date,archival_date,description,subject,location,latitude,longitude,source,identifier,type,format_original,format,finding_aid,digital_collection,contributing_institution,language,rights,rightsstatement,filename_original,display_template,image_small,image_thumb,objectid,parentid
mg632-f36_001.jpg,https://objects.lib.uidaho.edu/plastino/mg632-f36_001.jpg,Senator Church & Editor Plastino,Idaho Falls Post Register,,undated,"Two men looking to the left and talking. Text back translation ""Senator Frank Church Idaho Falls Post Register Executive Editor Ben J. Plastino""",senators; editors,,,,"Ben J. Plastino Papers, 1947-1998, MG 632, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg632-f36_001,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv470833,Ben J. Plastino Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,https://objects.lib.uidaho.edu/plastino/small/mg632-f36_001_sm.jpg,https://objects.lib.uidaho.edu/plastino/thumbs/mg632-f36_001_th.jpg,plastino0001,
mg632-f36_002.jpg,https://objects.lib.uidaho.edu/plastino/mg632-f36_002.jpg,Governor Evans & Editor Plastino,Idaho Falls Post Register,,undated,"Two men are shaking hands and smiling at the camera. Text back translation ""Idaho Falls Post Register Executives Editor Ben J. Plastino Governor John V Evans""",governors (public officers); editors,,,,"Ben J. Plastino Papers, 1947-1998, MG 632, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg632-f36_002,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv470833,,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,https://objects.lib.uidaho.edu/plastino/small/mg632-f36_002_sm.jpg,https://objects.lib.uidaho.edu/plastino/thumbs/mg632-f36_002_th.jpg,plastino0002,
mg632-f36_003.jpg,https://objects.lib.uidaho.edu/plastino/mg632-f36_003.jpg,Governor Evans Giving a Speech,Idaho Falls Post Register,,undated,"Governor Evans is giving a speech in front of crowd with Ben J Plastino front and center. Text back translation ""Governor John V. Evans in Idaho Falls Idaho Falls Post Register Executive Editor Ben J. Plastino, center, front row""",governors (public officers); editors,"Idaho Falls, Idaho",,,"Ben J. Plastino Papers, 1947-1998, MG 632, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg632-f36_003,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv470833,,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,https://objects.lib.uidaho.edu/plastino/small/mg632-f36_003_sm.jpg,https://objects.lib.uidaho.edu/plastino/thumbs/mg632-f36_003_th.jpg,plastino0003,
mg632-f36_004.jpg,https://objects.lib.uidaho.edu/plastino/mg632-f36_004.jpg,3 Officials Shaking Hands,,1977,1977-1983,"Two men shaking hands with a third person in between them. They're all posing for the photo. Text back translation ""Menzchem begin, Prime minister of lsrael 1977 - 1983; Speaker of the House Tip O'neill (D) Speaker 1977-1987; Idaho Congressman George V. Hansen"" Notes read on back ""3x5 Greets Begin 88 1/2""",prime ministers; members of Congress,,,,"Ben J. Plastino Papers, 1947-1998, MG 632, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg632-f36_004,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv470833,,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,https://objects.lib.uidaho.edu/plastino/small/mg632-f36_004_sm.jpg,https://objects.lib.uidaho.edu/plastino/thumbs/mg632-f36_004_th.jpg,plastino0004,
mg632-f36_005.jpg,https://objects.lib.uidaho.edu/plastino/mg632-f36_005.jpg,All Democratic State Constitutional Officers',,,undated,"6 democratic officers are all smiling at each other and posing for a picture. Text back translation ""all Democratic State Constitutional Officers'; Auditor Joe R. Williams; Attorney General Tony Park; Superintendent of Public Instruction Roy Truby; Governor Cecil D. Andrus; Senator Frank Church; Lt. Governor John V. Evans"" Notes read on back ""Thurs 4 x 3 1/2 wide most of the top echelon""",auditors; governors; senators; attorneys general,,,,"Ben J. Plastino Papers, 1947-1998, MG 632, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg632-f36_005,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv470833,,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,https://objects.lib.uidaho.edu/plastino/small/mg632-f36_005_sm.jpg,https://objects.lib.uidaho.edu/plastino/thumbs/mg632-f36_005_th.jpg,plastino0005,
mg632-f36_006.jpg,https://objects.lib.uidaho.edu/plastino/mg632-f36_006.jpg,All Democrats in Pocatello - Among the Luminaries,,,undated,"3 men and 2 women (all democratic officers) are smiling and laughing while posing for a picture. Text back translation ""all democrats! Superintend of Public Instruction Roy Truby; Bethine Church; Governor Andrus; Attorney General Tony Park; State Treasurer Marjorie Ruth Moon"" Notes read on back ""Mindy P-B-6 100 4x3 1/2 Pocatello - Among the luminaries""",governors (public officers); attorneys general; ,"Pocatello, Idaho",,,"Ben J. Plastino Papers, 1947-1998, MG 632, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg632-f36_006,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv470833,,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,https://objects.lib.uidaho.edu/plastino/small/mg632-f36_006_sm.jpg,https://objects.lib.uidaho.edu/plastino/thumbs/mg632-f36_006_th.jpg,plastino0006,
mg632-f36_007.jpg,https://objects.lib.uidaho.edu/plastino/mg632-f36_007.jpg,Governor Andrus Standing at a Desk,,,undated,"Governor Andrus standing at a desk and holding a piece of paper. Text back translation ""Governor Cecil D. Andrus"" Notes read on back ""100 Thursday [Indistinct] Boise Idaho Gov. Cecil D. Andrus",governors (public officers),"Boise, Idaho",,,"Ben J. Plastino Papers, 1947-1998, MG 632, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg632-f36_007,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv470833,,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,https://objects.lib.uidaho.edu/plastino/small/mg632-f36_007_sm.jpg,https://objects.lib.uidaho.edu/plastino/thumbs/mg632-f36_007_th.jpg,plastino0007,
mg632-f36_008.jpg,https://objects.lib.uidaho.edu/plastino/mg632-f36_008.jpg,Idaho Governor Andrus and Nevada Governor O'Callaghan,,,undated,"Idaho Governor Andrus and Nevada Governor O'Callaghan looking at a paper together and smiling. Text back translation ""Governor Cecil D Andrus Nevada Governor Mike O'Callaghan"" Notes read on back ""15 3 2 Col x 4 [Illeglible] Host Governor; 100 Nevada Gov - Mike O'Callaghan""",governors (public officers); ,,,,"Ben J. Plastino Papers, 1947-1998, MG 632, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg632-f36_008,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv470833,,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,https://objects.lib.uidaho.edu/plastino/small/mg632-f36_008_sm.jpg,https://objects.lib.uidaho.edu/plastino/thumbs/mg632-f36_008_th.jpg,plastino0008,
mg632-f36_009.jpg,https://objects.lib.uidaho.edu/plastino/mg632-f36_009.jpg,Governor Andrus and 2 Other Men Sitting and Listening,,,undated,"Governor Andrus along with 2 other men sitting together listening to someone talking. There appears to be an arrangement of flags behind them. Text back translation ""Governor Cecil D Andrus"" Notes read on back ""100 Wed Cage B-1 3x3 1/2 Anchorage, Alaska - In a significant session""",governors (public officers); Alaska,"Anchorage, Alaska",,,"Ben J. Plastino Papers, 1947-1998, MG 632, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg632-f36_009,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv470833,,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,https://objects.lib.uidaho.edu/plastino/small/mg632-f36_009_sm.jpg,https://objects.lib.uidaho.edu/plastino/thumbs/mg632-f36_009_th.jpg,plastino0009,
mg632-f36_010.jpg,https://objects.lib.uidaho.edu/plastino/mg632-f36_010.jpg,Governor Andrus Standing in Front of Idaho Picture Frame ,,,undated,"Governor Andrus standing in front of a frame with an outline of Idaho and it says Idaho the Gem State. Text back translation ""Governor Cecil D. Andrus"" Notes read on back ""2x5 Boise - Idaho Gov - Cecil D. Andrus""",governors (public officers),"Boise, Idaho",,,"Ben J. Plastino Papers, 1947-1998, MG 632, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg632-f36_010,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv470833,,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,https://objects.lib.uidaho.edu/plastino/small/mg632-f36_010_sm.jpg,https://objects.lib.uidaho.edu/plastino/thumbs/mg632-f36_010_th.jpg,plastino0010,
