objectid,filename,list,title,creator,recipient,date,archival_date,approximated_date,description,format_original,subject,location,latitude,longitude,source,identifier,type,format,finding_aid,digital_collection,contributing_institution,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
ictws_0001,mg511_b01_f046-001.pdf,mg511_b01_f046-001.pdf,Idaho Chapter TWS Winter meeting program agenda,Idaho Chapter of the Wildlife Society,,1971-01-28; 1971-01-29,28 January 1971; 29 January 1971,,Program agenda from the Idaho Chapter of the Wildlife Society (TWS) winter meeting.,agenda,meetings; agendas (administrative records); streams;,"Rodeway Inn Boise, Idaho",43.61171656,-116.2111644,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b01_f046-001,text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",In Copyright - Educational Use Permitted: http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b01_f046-001.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b01_f046-001_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b01_f046-001_th.jpg
ictws_0002,mg511_b01_f046-002.pdf,mg511_b01_f046-002.pdf,Northwest Section TWS Preliminary Program,Northwest Section of the Wildlife Society,,1973-02-16; 1973-02-17,16 February 1973; 17 February 1973,,Preliminary program agenda.,agenda,meetings; agendas (administrative records); discussions,,,,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b01_f046-002,text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",In Copyright - Educational Use Permitted: http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b01_f046-002.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b01_f046-002_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b01_f046-002_th.jpg
ictws_0003,mg511_b01_f046-003.pdf,mg511_b01_f046-003.pdf,POLLUTION SOLUTION FORM: A Public Workshop on Environmental Legislation Pending in the Idaho Legislature,"Boise Branch, American Association of University Women; Idaho Wildlife Federation; Idaho Tuberculosis and Respiratory Disease Association; Boise League of Women Voters",,1971-02-06,06 February 1971,,Workshop agenda on Idaho Environmental Legislation.,agenda,meetings; agendas (administrative records); workshops; discussions,Boise YWCA,43.62128025,-116.1994912,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b01_f046-003,text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",In Copyright - Educational Use Permitted: http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b01_f046-003.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b01_f046-003_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b01_f046-003_th.jpg
ictws_0004,mg511_b01_f046-004.pdf,mg511_b01_f046-004.pdf,Northwest Section TWS newsletter #2,Northwest Section of the Wildlife Society,,1972-11-01,01 November 1972,,The November 1972 issue of the Northwest Section The Wildlife Society.,newsletter,newsletters; awards; meetings,"550 W. Fort Street Boise, Idaho",43.62061257,-116.1943702,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b01_f046-004,text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",In Copyright - Educational Use Permitted: http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b01_f046-004.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b01_f046-004_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b01_f046-004_th.jpg
ictws_0005,mg511_b01_f046-005.pdf,mg511_b01_f046-005.pdf,Northwest Section TWS newsletter #3,Northwest Section of the Wildlife Society,,1973-01-01,01 January 1973,,The January 1973 issue of the Northwest Section The Wildlife Society.,newsletter,newsletters; meetings; agendas (administrative records); reports,"550 W. Fort Street Boise, Idaho",43.62061257,-116.1943702,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b01_f046-005,text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",In Copyright - Educational Use Permitted: http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b01_f046-005.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b01_f046-005_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b01_f046-005_th.jpg
ictws_0006,mg511_b01_f046-006.pdf,mg511_b01_f046-006.pdf,New challenges for an old profession,"Dasmann, Raymond F.",,1970-04-10; 1970-04-11,10 April 1970; 11 April 1970,,"Remarks of Raymond F. Dasmann, president of the Wildlife Society, to the 6th Annual Western Students Wildlife Conclave, Oregon State University from April 10-11, 1970.",speech,speeches (documents),Oregon State University,44.66934113,-123.0730523,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b01_f046-006,text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",In Copyright - Educational Use Permitted: http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b01_f046-006.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b01_f046-006_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b01_f046-006_th.jpg
ictws_0007,mg511_b01_f047-001.pdf,mg511_b01_f047-001.pdf,Minutes of the First Meeting,Idaho Chapter of the Wildlife Society,,1964-04-04,04 April 1964,,Summary of organizational meeting of the Idaho Chapter.,summary,summaries; discussions; summer programs; camps,"Hotel Moscow, Moscow, Idaho",46.73204904,-117.0025744,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b01_f047-001,text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",In Copyright - Educational Use Permitted: http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b01_f047-001.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b01_f047-001_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b01_f047-001_th.jpg
ictws_0008,mg511_b01_f047-002.pdf,mg511_b01_f047-002.pdf,Idaho Wildlife Society organizational meeting invitation,"The Idaho Chapter Organizing Committee; Hungerford, Kenneth E.",,1964-04-23,23 April 1964,,Letter directed to members of the Wildlife Society in Idaho.,letter,invitations; reports; summaries,,,,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b01_f047-002,text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",In Copyright - Educational Use Permitted: http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b01_f047-002.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b01_f047-002_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b01_f047-002_th.jpg
ictws_0009,mg511_b01_f047-003.pdf,mg511_b01_f047-003.pdf,Second Annual Field Trip,Idaho Chapter of the Wildlife Society,,1965-08-20,20 August 1965,,Field trip agenda from Idaho Chapter TWS.,agenda,agendas; activities; field trip,,,,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b01_f047-003,text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",In Copyright - Educational Use Permitted: http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b01_f047-003.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b01_f047-003_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b01_f047-003_th.jpg
ictws_0010,mg511_b01_f047-004.pdf,mg511_b01_f047-004.pdf,Wildlife Radio Telemetry Field Day,,,1965-08-21,21 August 1965,,Attendance record of people at the wildlife telemetry field day.,record,records; attendance; field trip,"Dubois, Idaho",44.34283264,-112.1552313,"Idaho Chapter of the Wildlife Society collection 1960-2017, MG 511, University of Idaho Library Special Collections and Archives",mg511_b01_f047-004,text,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv515081,Idaho Chapter of the Wildlife Society Collection,University of Idaho Library,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",In Copyright - Educational Use Permitted: http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/ictws/mg511_b01_f047-004.pdf,https://objects.lib.uidaho.edu/ictws/small/mg511_b01_f047-004_sm.jpg,https://objects.lib.uidaho.edu/ictws/thumbs/mg511_b01_f047-004_th.jpg
